name,source,reported lag,expected lag,retrieved lag,lag_error_plus,lag_error_minus,sim. coverage_fraction,redshift,baseline,cadence,sim_cadence,epochs,sim_epochs,SN,sim_sn,luminosity,flag
DES J002802.42-424913.52,McDougall2025,16.0,24.926807893271718,26.45462200650762,20.352094346494546,20.28301352131117,0.5277777777777778,0.127,2150.0,-1.0,60.833333333333336,18,19,-1,100,4.897788193684437e+43,0
DES J024347.34-005354.84,McDougall2025,27.5,33.11311214825916,26.511142745124964,35.316463887566236,19.36072981848595,0.5277777777777778,0.237,2150.0,-1.0,60.833333333333336,18,19,-1,100,1.1481536214968887e+44,0
PG 1411+442 ,Hu2025,80.2,41.437559819926626,40.87354800883895,16.228104341941105,13.271500680808007,0.545,0.089,1596.0,8.0,8.0,155,109,396,396,2.2500000000000004e+44,2
PG 1322+65,Woo2024,49.3,58.95559163116141,56.763900783028525,26.353415941598207,19.07125687638664,0.5454545454545454,0.168,2043.0,17.0,17.0,65,66,39,39,6.480000000000001e+44,0
Mrk 1501,Woo2024,11.7,33.78987694875539,34.37902530186143,11.112086229381362,15.322858745453615,0.5213675213675214,0.089,1741.0,15.0,15.0,38,61,41,41,1.2200000000000002e+44,2
J0101+422,Woo2024,76.1,59.52626196881329,59.241186425455034,20.824098495377562,22.722810616838423,0.5246913580246914,0.19,2103.0,13.0,13.0,84,85,46,46,6.670000000000001e+44,0
J0140+234,Woo2024,113.6,75.01712602280342,74.27420121738787,29.68099243267639,31.646445009169547,0.5337837837837838,0.32,2064.0,14.0,14.0,87,79,31,31,1.3350000000000001e+45,2
Mrk 1014,Woo2024,107.6,61.53976440466921,64.694805667658,27.317827636244843,26.28136876152984,0.5316455696202531,0.163,1572.0,20.0,20.0,31,42,39,39,7.37e+44,2
J0801+512,Woo2024,166.8,46.79308408735659,45.611836858233076,28.759945469265332,23.230232639262805,0.5432098765432098,0.321,2015.0,25.0,25.0,31,44,14,14,3.2400000000000006e+44,2
J0939+375,Woo2024,19.3,44.83477073743736,46.874766119536474,19.392744838045346,19.131151906586595,0.5348837209302325,0.231,2050.0,16.0,16.0,57,69,27,27,2.8500000000000005e+44,2
PG 0947+396,Woo2024,36.7,49.260324296519464,49.493540568037645,18.73039926468735,17.880517683718068,0.5374149659863946,0.206,2050.0,14.0,14.0,72,79,31,31,3.7800000000000005e+44,0
J1026+523,Woo2024,34.1,45.80974362040093,44.7178816269117,26.127011892084717,19.166701429056136,0.5289855072463768,0.259,2059.0,15.0,15.0,73,73,16,16,3.0400000000000005e+44,0
J1059+665,Woo2024,189.4,62.87444753352177,57.71940215114021,33.625883192971294,32.25874861905184,0.5068493150684932,0.34,2018.0,28.0,28.0,36,37,24,24,7.860000000000001e+44,2
Mrk 1014,Hu2025,95.9,46.50243631484482,48.41796258329198,15.59532297728677,17.403742016358017,0.5459940652818991,0.163,2018.0,6.0,6.0,164,184,145,145,3.1800000000000003e+44,2
3C 249.1,Woo2024,53.7,111.68168838404874,108.13101060651059,42.85510722960723,41.1841902711148,0.5,0.312,2059.0,28.0,28.0,40,37,41,41,4.405e+45,2
J1105+671,Woo2024,24.8,49.47657081000696,46.89217551074841,24.894108216296466,18.682314734590364,0.5571428571428572,0.32,2015.0,29.0,29.0,29,39,23,23,3.8300000000000005e+44,0
J1120+423,Woo2024,44.4,47.45757762345595,48.180242398622966,19.932366714366296,19.90661426502641,0.5348837209302325,0.226,2059.0,16.0,16.0,48,69,30,30,3.38e+44,0
PG 1121+422,Woo2024,115.8,60.08619532527901,58.97997399823606,26.638914117285623,23.202656579016427,0.5409836065573771,0.225,2074.0,17.0,17.0,61,66,33,33,6.860000000000001e+44,2
J1203+455,Woo2024,52.6,67.64892462532326,68.03975816926673,26.475574784148264,30.318016023567296,0.543859649122807,0.343,2041.0,18.0,18.0,49,62,25,25,9.79e+44,0
2E 1202.1+2811,Woo2024,38.5,44.30413189122345,42.60455471593008,18.648445433111412,14.738452321378631,0.5374149659863946,0.165,2057.0,14.0,14.0,84,79,30,30,2.75e+44,0
J1217+333,Woo2024,26.5,36.43877851161658,36.98153469182666,14.337540322041193,14.73474901972557,0.5328467153284672,0.178,2052.0,15.0,15.0,60,73,26,26,1.53e+44,0
VIII Zw 218,Woo2024,63.3,45.09544386644648,44.13677372433907,18.983723720442953,14.934683855127552,0.5374149659863946,0.127,2056.0,14.0,14.0,79,79,38,38,2.9e+44,0
J1415+483,Woo2024,25.3,51.85765369233105,49.19684997976359,24.972359762667132,19.814552474938065,0.5425531914893617,0.275,1974.0,21.0,21.0,30,51,28,28,4.4100000000000006e+44,1
PG 1427+480,Woo2024,33.3,58.28070246481107,58.66748155459352,25.825355182150048,21.668265015769222,0.5486111111111112,0.22,2007.0,14.0,14.0,57,79,38,38,6.2600000000000006e+44,0
PG 1121+422,Hu2025,100.9,54.995680644249006,54.78364269905262,17.23818009728113,21.5341388556753,0.6,0.225,899.0,14.0,14.0,41,39,284,284,5.2600000000000005e+44,2
PG 1440+356,Woo2024,50.6,48.5104981039911,50.95917553229196,16.378354893809366,21.16388491183287,0.5407407407407407,0.079,2015.0,15.0,15.0,62,73,70,70,3.61e+44,0
J1456+380,Woo2024,77.8,55.20399960527994,56.401658894847685,23.761657554483648,24.693885110739448,0.5407407407407407,0.283,2020.0,15.0,15.0,79,73,25,25,5.3200000000000004e+44,0
J1526+275,Woo2024,63.9,59.3472345358402,57.573457333951026,24.05500122074629,20.45347529669005,0.5486725663716814,0.231,2020.0,18.0,18.0,51,62,43,43,6.610000000000001e+44,0
J1540+355,Woo2024,57.9,44.729647794296405,45.47095725521951,20.983487085741864,15.726008528561454,0.5433070866141733,0.164,2019.0,16.0,16.0,81,69,37,37,2.8300000000000004e+44,0
PG 1545+210,Woo2024,60.3,82.79831225605551,79.53797881839023,31.680991157330638,28.633373134811315,0.543859649122807,0.264,2046.0,18.0,18.0,69,62,41,41,1.795e+45,0
PG 1612+261,Woo2024,63.7,54.50336552463689,55.69491486139898,18.596753434859288,21.308222040503033,0.5454545454545454,0.131,2042.0,17.0,17.0,32,66,56,56,5.12e+44,0
J1619+501,Woo2024,32.3,43.59470706593478,44.82704065660805,18.28018004495064,18.891062504377444,0.5328467153284672,0.234,2046.0,15.0,15.0,84,73,25,25,2.6200000000000004e+44,0
PG 2251+113,Woo2024,152.7,99.24295071855012,97.30243933215466,31.871130452210693,34.41538839507571,0.55,0.326,1693.0,17.0,17.0,28,55,59,59,3.091e+45,2
PG 2349-014,Woo2024,55.9,52.51561945965434,51.904027290104125,25.533489612781835,20.583346268737518,0.5420560747663551,0.174,1703.0,16.0,16.0,34,58,37,37,4.58e+44,0
PG 1307+085 ,Bentz2013,105.6,57.98735951008306,60.232424345587184,23.1792611085717,40.31138512401314,0.5227272727272727,0.155,2739.0,-1.0,63.47826086956522,23,23,45,45,6.165950018614809e+44,2
PG 1116+215,Hu2025,145.5,87.61715825284085,89.77807936534093,32.52286318460497,30.284164595931124,0.5460122699386503,0.1754,1625.0,10.0,10.0,96,89,359,359,2.1270000000000002e+45,2
PG 1426+015 ,Bentz2013,95.0,48.97788193684464,36.18027989718971,49.810857232955264,26.98503704780385,0.4473684210526316,0.086,2739.0,-1.0,73.0,20,17,69,69,3.715352290971728e+44,2
PG 1613+658 ,Bentz2013,40.1,54.53391371646281,58.55972954567359,20.83857835865254,21.074481011451994,0.5384615384615384,0.129,2739.0,-1.0,30.416666666666668,48,49,79,79,5.128613839913659e+44,0
PG 1617+175 ,Bentz2013,71.5,40.73802778041122,42.37703086594156,15.82944325284538,15.342358308429834,0.515625,0.114,2739.0,-1.0,42.94117647058823,34,33,69,69,2.1379620895022236e+44,2
PG 1700+518 ,Bentz2013,251.8,102.32929922807547,100.56272057069626,32.76791807453486,35.1607970827672,0.5285714285714286,0.292,2739.0,-1.0,39.45945945945946,37,37,200,200,3.3884415613920345e+45,2
PG 2130+099 ,Bentz2013,9.6,35.21005201684521,33.70438188701071,3.334959350973712,8.492809727914299,1.0,0.061,116.0,0.99,0.99,88,118,41,41,1.3803842646028867e+44,2
3C 120,Bentz2013,25.9,28.61980475501701,27.685459451808427,2.054697867076168,3.8293630040589868,1.0,0.03301,128.0,0.99,0.99,84,130,40,40,7.413102413009131e+43,0
3C 390.3,Bentz2013,23.6,23.622906626344566,23.09215523280997,2.2741343664057823,5.742430357973838,0.6565656565656566,0.0561,520.0,5.3,5.3,104,65,-1,100,4.1686938347033296e+43,0
3C 390.3,Bentz2013,46.4,43.9879105595043,18.8571011963088,13.836772489895157,25.22657473451718,1.0,0.0561,83.0,-1.0,3.32,25,25,-1,100,2.691534803926914e+44,3
Akn 120,Bentz2013,47.1,29.739477452346094,31.39615127027694,11.527616410993431,8.643005643536103,0.5305343511450382,0.03271,2027.0,-1.0,7.76595744680851,141,139,47,47,8.317637711026743e+43,2
F9,Bentz2013,17.4,29.739477452346094,29.447241708545793,1.514702688107846,3.049554327926934,0.6923076923076923,0.04702,263.0,-1.0,4.066666666666666,45,45,70,70,8.317637711026743e+43,0
PG 1341+258,Hu2025,22.6,28.731199282724987,27.515091623631946,6.4737248943713155,9.199648239311681,0.5922330097087378,0.0866,926.0,9.0,9.0,60,61,201,201,7.500000000000001e+43,0
Mrk 79,Bentz2013,9.0,22.733518989206303,21.9807454273075,7.212811489961911,4.104824727651394,0.5691699604743083,0.02219,1266.0,-1.0,5.020979020979021,143,144,45,45,3.7153522909717277e+43,2
Mrk 79,Bentz2013,16.1,24.547089156850337,23.845678858814306,8.504662648580418,5.712747655339523,0.5691699604743083,0.02219,1266.0,-1.0,5.020979020979021,143,144,54,54,4.677351412872e+43,0
Mrk 110,Bentz2013,24.3,23.622906626344566,22.638928213467448,8.707327254190709,5.671242844444514,0.5647058823529412,0.03529,1308.0,-1.0,7.6947368421052635,95,96,47,47,4.1686938347033296e+43,0
Mrk 110,Bentz2013,20.4,24.926807893271718,25.196884480338387,5.937230408299918,7.644304089089125,0.5647058823529412,0.03529,1308.0,-1.0,7.6947368421052635,95,96,49,49,4.897788193684437e+43,0
Mrk 110,Bentz2013,33.3,21.053937692175488,22.042597336427733,6.040418378392136,5.585423845366421,0.5647058823529412,0.03529,1308.0,-1.0,7.6947368421052635,95,96,34,34,2.951209226666378e+43,2
Mrk 335,Bentz2013,16.8,25.11886431509586,24.386152756795333,4.854246028600347,7.837107472767766,0.5694444444444444,0.02579,962.0,-1.0,4.455284552845528,123,123,51,51,5.011872336272756e+43,0
Mrk 335,Bentz2013,12.5,26.709555875589867,26.140306325750217,5.1560088645449085,6.551117476390331,0.5694444444444444,0.02579,962.0,-1.0,4.455284552845528,123,123,50,50,6.025595860743593e+43,2
Mrk 335,Bentz2013,14.3,24.7362199163862,23.788910512026614,2.6147976792756538,3.891488320108351,1.0,0.02579,128.0,1.0,1.0,85,128,28,28,4.78630092322638e+43,0
Mrk 590,Bentz2013,20.7,22.046179206361874,23.916220909636703,8.027278171796056,7.910156462171518,0.5421052631578948,0.02639,2032.0,-1.0,10.735294117647058,102,103,46,46,3.388441561392034e+43,0
Mrk 590,Bentz2013,14.0,15.48816618912482,19.157548206058742,8.293886644739157,7.339377207432429,0.5421052631578948,0.02639,2032.0,-1.0,10.735294117647058,102,103,43,43,1.1748975549395304e+43,0
PG 2308+098,Hu2025,149.6,102.01180853030286,100.45912505403803,30.37587290747871,36.73863880885979,0.5466666666666666,0.4329,1195.0,8.0,8.0,84,82,-1,100,3.3570000000000005e+45,0
Mrk 590,Bentz2013,29.2,18.764341719560857,22.1081182891988,9.834397291072296,6.528381412113989,0.5421052631578948,0.02639,2032.0,-1.0,10.735294117647058,102,103,46,46,2.0892961308540408e+43,1
Mrk 590,Bentz2013,28.8,23.085183622427678,24.10910991492029,8.358829359728574,7.920890746739861,0.5421052631578948,0.02639,2032.0,-1.0,10.735294117647058,102,103,42,42,3.8904514499428365e+43,0
Mrk 817,Bentz2013,19.0,25.70395782768858,25.26935286488256,2.8362494985315294,5.268111778353354,0.8620689655172413,0.03146,211.0,-1.0,7.32,25,25,51,51,5.370317963702489e+43,0
Mrk 817,Bentz2013,15.3,23.442288153199215,22.587657228041692,2.860913071873089,5.0997130615510144,0.8620689655172413,0.03146,211.0,-1.0,7.32,25,25,48,48,4.073802778041122e+43,0
