name,source,reported lag,expected lag,retrieved lag,lag_error_plus,lag_error_minus,sim. coverage_fraction,redshift,baseline,cadence,sim_cadence,epochs,sim_epochs,SN,sim_sn,luminosity,flag
DES J002802.42-424913.52,McDougall2025,16.0,19.186687406702823,25.68412108577334,19.995041455651112,20.11516506865928,0.5277777777777778,0.127,2150.0,-1.0,60.833333333333336,18,19,-1,100,4.897788193684437e+43,0
DES J024347.34-005354.84,McDougall2025,27.5,34.83373150360131,42.16179303877569,20.234437823991463,34.70516221629462,0.5277777777777778,0.237,2150.0,-1.0,60.833333333333336,18,19,-1,100,1.1481536214968887e+44,0
PG 1411+442 ,Hu2025,80.2,55.78632629283658,55.126172895463625,19.036236711904806,19.403306769364363,0.545,0.089,1596.0,8.0,8.0,155,109,396,396,2.2500000000000004e+44,0
PG 1322+65,Woo2024,49.3,116.97754540295885,115.25730452664266,35.41272421456824,36.64834989372848,0.5454545454545454,0.168,2043.0,17.0,17.0,65,66,39,39,6.480000000000001e+44,2
Mrk 1501,Woo2024,11.7,36.34560324754357,35.10576428659397,15.46706193221224,11.106459457598984,0.5213675213675214,0.089,1741.0,15.0,15.0,38,61,41,41,1.2200000000000002e+44,2
J0101+422,Woo2024,76.1,119.3680457301546,115.8858654668217,34.341115038144395,34.21436141894091,0.5246913580246914,0.19,2103.0,13.0,13.0,84,85,46,46,6.670000000000001e+44,0
J0140+234,Woo2024,113.6,194.01570490074934,180.4157803744771,38.95914808280622,52.14695280503082,0.5337837837837838,0.32,2064.0,14.0,14.0,87,79,31,31,1.3350000000000001e+45,0
Mrk 1014,Woo2024,107.6,128.0050906500041,128.72856636751757,39.69297909619755,49.88213488385912,0.5316455696202531,0.163,1572.0,20.0,20.0,31,42,39,39,7.37e+44,0
J0801+512,Woo2024,166.8,72.00812575482708,69.02242948236629,36.95223707008965,31.14131144006486,0.5432098765432098,0.321,2015.0,25.0,25.0,31,44,14,14,3.2400000000000006e+44,2
J0939+375,Woo2024,19.3,65.82508097171713,64.6760510167675,28.68588923457338,25.264211843410315,0.5348837209302325,0.231,2050.0,16.0,16.0,57,69,27,27,2.8500000000000005e+44,2
PG 0947+396,Woo2024,36.7,80.21290773372563,78.25766481412651,31.94951401571504,31.62387468217762,0.5374149659863946,0.206,2050.0,14.0,14.0,72,79,31,31,3.7800000000000005e+44,2
J1026+523,Woo2024,34.1,68.867054543167,68.09637140878006,31.47984337013709,34.24540546761033,0.5289855072463768,0.259,2059.0,15.0,15.0,73,73,16,16,3.0400000000000005e+44,1
J1059+665,Woo2024,189.4,133.90468809550217,123.72065751885843,49.49182655877205,56.590471078187846,0.5068493150684932,0.34,2018.0,28.0,28.0,36,37,24,24,7.860000000000001e+44,2
Mrk 1014,Hu2025,95.9,71.0720731710434,71.86143702189426,23.50092281695376,25.235578856182173,0.5459940652818991,0.163,2018.0,6.0,6.0,164,184,145,145,3.1800000000000003e+44,0
3C 249.1,Woo2024,53.7,447.4681608112688,423.31364824592976,86.2201759869584,168.87436720808938,0.5,0.312,2059.0,28.0,28.0,40,37,41,41,4.405e+45,2
J1105+671,Woo2024,24.8,80.95415459030833,80.83496573295895,34.303091324064795,34.91098888904858,0.5571428571428572,0.32,2015.0,29.0,29.0,29,39,23,23,3.8300000000000005e+44,2
J1120+423,Woo2024,44.4,74.17229043382045,73.73066180966148,26.28390767646067,27.383402023927076,0.5348837209302325,0.226,2059.0,16.0,16.0,48,69,30,30,3.38e+44,0
PG 1121+422,Woo2024,115.8,121.73820138291285,115.19621527712604,36.45244168529791,37.51489382114076,0.5409836065573771,0.225,2074.0,17.0,17.0,61,66,33,33,6.860000000000001e+44,0
J1203+455,Woo2024,52.6,156.15211980399093,143.23264210301693,43.374606581249566,47.58186404178062,0.543859649122807,0.343,2041.0,18.0,18.0,49,62,25,25,9.79e+44,2
2E 1202.1+2811,Woo2024,38.5,64.19968330026086,61.9626276811356,23.999470598528347,22.833314443574963,0.5374149659863946,0.165,2057.0,14.0,14.0,84,79,30,30,2.75e+44,0
J1217+333,Woo2024,26.5,42.58768190382463,42.35560493643587,18.421578453217656,14.869361056975361,0.5328467153284672,0.178,2052.0,15.0,15.0,60,73,26,26,1.53e+44,0
VIII Zw 218,Woo2024,63.3,66.63134785933116,68.09229400192132,24.723842576701443,24.854928586112337,0.5374149659863946,0.127,2056.0,14.0,14.0,79,79,38,38,2.9e+44,0
J1415+483,Woo2024,25.3,89.35256264002771,87.69321119331205,36.00510627488461,38.89987743114651,0.5425531914893617,0.275,1974.0,21.0,21.0,30,51,28,28,4.4100000000000006e+44,2
PG 1427+480,Woo2024,33.3,114.18315352768674,113.6261725137623,31.027108500248943,37.06683734331175,0.5486111111111112,0.22,2007.0,14.0,14.0,57,79,38,38,6.2600000000000006e+44,2
PG 1121+422,Hu2025,100.9,101.08576937597621,100.03851425370684,40.5601913852706,38.5313810589827,0.6,0.225,899.0,14.0,14.0,41,39,284,284,5.2600000000000005e+44,0
PG 1440+356,Woo2024,50.6,77.67031050204685,78.92027991866904,27.499088911022866,27.40460166755961,0.5407407407407407,0.079,2015.0,15.0,15.0,62,73,70,70,3.61e+44,0
J1456+380,Woo2024,77.8,101.891543833933,99.4467442410646,33.18467294080021,36.92327775109171,0.5407407407407407,0.283,2020.0,15.0,15.0,79,73,25,25,5.3200000000000004e+44,0
J1526+275,Woo2024,63.9,118.61538467870704,115.36994361726434,33.68258225299991,39.78641754651987,0.5486725663716814,0.231,2020.0,18.0,18.0,51,62,43,43,6.610000000000001e+44,0
J1540+355,Woo2024,57.9,65.50138828776679,66.89612351056789,22.145335361378798,26.62892182121751,0.5433070866141733,0.164,2019.0,16.0,16.0,81,69,37,37,2.8300000000000004e+44,0
PG 1545+210,Woo2024,60.3,238.69598667522706,227.51376799273334,35.82759803064971,44.63930297047105,0.543859649122807,0.264,2046.0,18.0,18.0,69,62,41,41,1.795e+45,2
PG 1612+261,Woo2024,63.7,99.19481520309355,98.76910567195104,29.744168037249167,34.427363267704465,0.5454545454545454,0.131,2042.0,17.0,17.0,32,66,56,56,5.12e+44,0
J1619+501,Woo2024,32.3,62.05987606083865,63.84646872113326,24.85201960626992,26.72541720476756,0.5328467153284672,0.234,2046.0,15.0,15.0,84,73,25,25,2.6200000000000004e+44,0
PG 2251+113,Woo2024,152.7,349.1960347959051,329.3014865398849,48.590909314078715,56.501874378614104,0.55,0.326,1693.0,17.0,17.0,28,55,59,59,3.091e+45,2
PG 2349-014,Woo2024,55.9,91.74994965171085,89.23813263012656,32.029837915208645,35.31587886727931,0.5420560747663551,0.174,1703.0,16.0,16.0,34,58,37,37,4.58e+44,0
PG 1307+085 ,Bentz2013,105.6,112.97959146727963,106.17815640387798,44.16736945224909,45.320315215128986,0.5227272727272727,0.155,2739.0,-1.0,63.47826086956522,23,23,45,45,6.165950018614809e+44,0
PG 1116+215,Hu2025,145.5,268.80493824826766,264.53441198710414,16.34152795826799,27.061125880256895,0.5460122699386503,0.1754,1625.0,10.0,10.0,96,89,359,359,2.1270000000000002e+45,0
PG 1426+015 ,Bentz2013,95.0,79.25013304804722,64.51174103345411,50.778152073455686,30.294802250929997,0.4473684210526316,0.086,2739.0,-1.0,73.0,20,17,69,69,3.715352290971728e+44,0
